Codigo,Descripcion,Precio,Rubro
35UF,CAPACITOR 35UF 450V,1821370,
40UF,CAPACITOR 40UF 450V,1999584,
45UF,CAPACITOR 45UF 450V,2298940,
4UF,CAPACITOR 4UF 450V,447185,
50UF,CAPACITOR 50UF 450V,2416912,
5UF,CAPACITOR 5UF 450V,522486,
6UF,CAPACITOR 6UF 450V,539264,
8UF,CAPACITOR 8UF 450V,634117,
330221,CARGADOR ENERGIZER C/PILAS,5232597,
LL03,CARGADOR LED RGB DOMO WIRELESS,4900016,
W32,CARGADOR PILAS RAYOBAK C/USB,5623608,
CARTEL,CARTEL LED LUMINOSO ABIERTO/OFERTA/ETC,2100076,
EXIT,CARTEL SALIDA DE EMERGENCIA,1353149,
SH18,CASCADITAS DE HUMO,520534,
CASE,CASETINA VACIA ARRANQUE/PARE,3581099,
32443,"CAÑITO ROSCADO 3/8"" X 3 CM",20086,
32445,"CAÑITO ROSCADO 3/8"" X 5 CM",30008,
1023,CAÑO BAJADA DOBLE AISL.PILAR,3751000,
CA20,CAÑO RIGIDO 20MM X 3MTS,240911,
CA22,CAÑO RIGIDO 22MM X 3MTS,285188,
CA25,CAÑO RIGIDO 25MM X 3MTS,369050,
CA32,CAÑO RIGIDO 32MM X 3MTS,499730,
13067,CERRADURA ELECTRICA,1679117,
3M10,CINTA 3M AISLADORA 10 MTS,294803,
CAN10,CINTA AISLADORA CANDELA 10 MTS,58909,
CAN20,CINTA AISLADORA CANDELA 20 MTS,107072,
CT10,CINTA AISLADORA TACSA 10 MTS,155235,
CT20,CINTA AISLADORA TACSA 20 MTS,268909,
3360,CINTA AUTOSOLDANTE 5 MTS,500093,
3256,CINTA HELICOIDAL 5/8,300688,
3366,CINTA PASACABLE X 10 MTS ALMA ACERO,842258,
3050,CINTA PASACABLE X 10 MTS PVC,410586,
3367,CINTA PASACABLE X 15 MTS ALMA ACERO,1072331,
3051,CINTA PASACABLE X 15 MTS PVC,508766,
3052,CINTA PASACABLE X 20 MTS PVC,553492,
3053,CINTA PASACABLE X 25 MTS PVC,629914,
3369,CINTA PASACABLE X 7 MTS ALMA ACERO,720573,
3365,CINTA PASACABLE X 7 MTS PVC,362100,
3368,CINTA VINI-TAPE 10 MTS,240064,
3358,CINTA VINI-TAPE 20 MTS,460042,
C347,"COLGANTE ""CHESTER"" 3XE27",8379113,
C196,"COLGANTE ""EGIPTO"" 32X32CM",3533891,
GALAX,"COLGANTE ""GALAXIA""",1560174,
C142,"COLGANTE ""GALPONERO"" ALUMINIO NJA/BORDO",4864064,
9901,COLGANTE 1 LUZ CUADRADO PERFORADO,3718324,
9905,COLGANTE 2 LUCES PERFORADO,6801619,
C3007,COLGANTE 3 LUCES CUBO,7699691,
9903,COLGANTE 3 LUCES PERFORADO,10226547,
ALP40,COLGANTE ALPILLERA 40CM,2303718,
ALP45,COLGANTE ALPILLERA 45CM,2362694,
ALP50,COLGANTE ALPILLERA 50CM,2540537,
152N,COLGANTE APOLO C/REJA,9169361,
C1018,COLGANTE ATOMO,2021815,
3091,COLGANTE BASQUET ARO+PELOTA,11482900,
C115CB,COLGANTE C/COPETE COBRE 35CM,4900500,
7791,COLGANTE CAMPANA VIDRIO FUME COBRE,4646400,
CH7,COLGANTE CHAPA 1/2 ESFERA,3051471,
CH8,COLGANTE CHAPA 1/2 ESFERA GRANDE,5690667,
C136CB,COLGANTE CHAPA 32CM COBRE PULIDO,1962458,
CH9,COLGANTE CHAPA 4 LUCES,6419344,
CH6,COLGANTE CHAPA C/COPETE,2622550,
CH4,COLGANTE CHAPA CAMPANA CHICA,1980044,
CH5,COLGANTE CHAPA GRANDE OVNI,2590005,
7787,COLGANTE CHATO VIDRIO FUME COBRE,3900072,
3404PLATIL,COLGANTE CILINDRO 1 LUZ,2342737,
34042L,COLGANTE CILINDRO 2 LUCES,6166902,
34043L,COLGANTE CILINDRO 3 LUCES,8813034,
9904,COLGANTE CIRCULAR PERFORADO,3983479,
5875,COLGANTE CONICO COPETE COBRE MATE,3802185,
5870,COLGANTE CONO 32CM MADERA CABLE TEXTIL,4809414,
9912,COLGANTE CUBIX 2 LUCES RECTANGULAR,4972102,
9913,COLGANTE CUBIX 3 LUCES RECTANGULAR,7237403,
99152L,COLGANTE CUBIX DOBLE PIRAMIDE,5211020,
9915,COLGANTE CUBIX PIRAMIDE 1 LUZ,1739757,
7018,COLGANTE DANESA 2 LUCES,7900090,
7019,COLGANTE DANESA 3 LUCES,11500082,
CD311,COLGANTE DESNIVEL 3 LUCES TULIPA SATIN,9552189,
5019,COLGANTE ESFERA VIDRIO COLOR C/PLATIL,8171707,
GAIA,COLGANTE GAIA MADERA TEXTIL,3040414,
C1014,COLGANTE GEO CIRCULO,1236679,
C1010,COLGANTE GEO CUADRADO,1236679,
C1015,COLGANTE GEO PIRAMIDE,1379419,
9012PLATIL,COLGANTE GLOBO 2 LUCES,9228773,
9013PLATIL,COLGANTE GLOBO 3 LUCES,13026915,
9014PLATIL,COLGANTE GLOBO 4 LUCES,15999925,
9015PLATIL,COLGANTE GLOBO 4 LUCES,15999925,
MDF1,COLGANTE GLOBO MDF,6319036,
1102,COLGANTE INFANTIL,2050451,
JAULA09,COLGANTE JAULA CILINDRO,3459203,
JAULACUBO,COLGANTE JAULA CUBO,3234514,
C128CB,COLGANTE JAULA CURVO COBRE,2752574,
C127CB,COLGANTE JAULA DIAMANTE COBRE,2752574,
C127NG,COLGANTE JAULA DIAMANTE NEGRO,2000491,
C102,COLGANTE JAULA ESFERA,2478956,
JAULAGLOBO,COLGANTE JAULA GLOBO,3525848,
JAULARAYO,COLGANTE JAULA RAYO,1924459,
C126CB,COLGANTE JAULA RECTO COBRE,2752574,
C103,COLGANTE JAULA SEMIESFERICO,5276445,
JAULATUBO,COLGANTE JAULA TUBO,1924459,
C177CB,COLGANTE JAULITA PORTO COBRE,2195476,
C177NG,COLGANTE JAULITA PORTO NEGRA,1419402,
LUNIA,COLGANTE LUNIA PVC C/INTERRUPTOR,2500102,
2801,COLGANTE MADERA 1 LUZ C/SALVAVISTA,9901052,
2805,COLGANTE MADERA 2 LUCES C/SALVAVISTA,22591819,
2904,COLGANTE MADERA 2 LUCES C/TULIPA MURANO,23642899,
1353,COLGANTE MALAGA 38CM,5900081,
CM1,COLGANTE METAL CAPUCHON E27,790009,
C178,"COLGANTE NORDICO ""CORUÑA""A",2271438,
C1001,COLGANTE OVIEDO 40CM NG/MAR/BCO,6637205,
C190,COLGANTE PARIS NG/MAR/ROJ/VDE,1532688,
3090,COLGANTE PELOTA FUTBOL,9401700,
9902,COLGANTE PIRAMIDE PERFORADO,3407156,
1008,COLGANTE POLICARBONATO 31CM,2614562,
56CM,COLGANTE POLICARBONATO 56CM E40,7969592,
CV308,COLGANTE REGLETA C/LAMP.VINTAGE G125,9685166,
157COB,COLGANTE REJA GLOBO COBRE,7313739,
157NMC,COLGANTE REJA GLOBO NEGRO M.TEXT.,6388831,
148,COLGANTE REJA MELL NG C/COBRE,7860448,
C208,COLGANTE SEVILLA 2 LUCES,9529321,
C308,COLGANTE SEVILLA 3 LUCES,12514730,
3000,COLGANTE TELA 35X18,2050451,
T2L30,COLGANTE TUBO 30CM 2 LUCES,3878116,
T3L30,COLGANTE TUBO 30CM 3 LUCES,5694558,
C1800,COLGANTE TUBO CALADO 1 LUZ D63 H300,2665680,
CP2L,COLGANTE TUBO CALADO 2 LUCES 2XGU10,6910906,
CP3L,COLGANTE TUBO CALADO 3 LUCES 3XGU10,9616268,
7751,"COLGANTE VIDRIO ""IMOLA"" 25CM COBRE",5808000,
C154,COLGANTE VIDRIO COLOR ROJ/VDE/NG,2119108,
5820,COLGANTE VIDRIO CONO COLOR,11772089,
3017C,COLGANTE VIDRIO HABANO 25CM,1620549,
8081,COLGANTE VIDRIO SATINADO RAYADO BCO/NG,4319309,
8081P,COLGANTE VIDRIO SATINADO RAYADO PLATIL,4703249,
ZOEMAD,COLGANTE ZOE MADERA TEXTIL,3590070,
ZOEPVC,COLGANTE ZOE PVC,2500102,
CON20,CONECTOR 20MM C/TUERCA,26015,
CON22,CONECTOR 22MM C/TUERCA,39446,
CON25,CONECTOR 25MM C/TUERCA,41503,
CON32,CONECTOR 32MM C/TUERCA,108174,
DELGA11/2,"CONECTOR HIERRO DELGA 1 1/2""",228225,
DELGA11/4,"CONECTOR HIERRO DELGA 1 1/4""",173314,
DELGA1,"CONECTOR HIERRO DELGA 1""",110680,
DELGA2,"CONECTOR HIERRO DELGA 2""",348343,
DELGA3/4,"CONECTOR HIERRO DELGA 3/4""",60569,
DELGA5/8,"CONECTOR HIERRO DELGA 5/8""",50364,
DELGA7/8,"CONECTOR HIERRO DELGA 7/8""",107249,
CONR,CONECTOR LINEAL/CURVO P/RIEL,236122,
CRG6,CONECTOR P/COAXIL RG6 REFORZADO,13775,
817900,CONECTOR P/PCZ 16MM2 63A ZOLODA,340615,
3173,"CONECTOR PVC 1""",13915,
3171,"CONECTOR PVC 3/4""",9559,
3172,"CONECTOR PVC 7/8""",12342,
SH15,CONITOS PARA CASCADAS DE HUMO,319360,
1101,CONJUNTO INFANTIL VELADOR+COLGANTE,3143728,
12B,CONMUTADORA 10A PALANCA VEFBEN 0-1-2,1490115,
WF022CP,CONMUTADORA EXT.2P 2V 32A PVC VEFBEN,7842623,
63103N/7,CONMUTADORA EXT.3P+N METALICA 63A,17433937,
32103/7,CONMUTADORA EXT.TRIPOLAR METALICA 32A,8721669,
3SCA8-11,CONTACTO AUXILIAR 1NA+1NC FRONTAL,342505,
3SCA8-22,CONTACTO AUXILIAR 2NA+2NC FRONTAL,642197,
1024,CONTACTOR 12A STECK,2782657,
3388,CONTACTOR 18A STECK,2997416,
3389,CONTACTOR 25A STECK,4282232,
3401,CONTACTOR 32A STECK,6592154,
